# NG15-like pulsar summary for referee-response studies
# source: NANOGrav 15-yr data release (discovery-format pulsar files; real TOAs/errors/residuals;
#   pdist = NANOGrav CW-search distance prior [mean, sigma] in kpc from the pulsar metadata)
# wrms_s = weighted rms of post-fit residuals about weighted mean ('total rms' noise)
# n_epochs = TOAs clustered within 0.5 d;  times in seconds;  angles in radians
name,pos_x,pos_y,pos_z,ra,dec,pdist_mean,pdist_sigma,t_first,t_last,T_yr,n_toas,n_epochs,wrms_s
B1855+09,0.2352760048,-0.957353116,0.1676908253,4.953370041,0.168486857,0.9,0.2,4610193726,5102021137,15.5850702,7758,147,1.024073864e-06
B1937+21,0.3840023146,-0.8477095922,0.3659653941,5.13772499,0.3746699489,5,2,4602276512,5103227585,15.87418159,23023,441,6.218472946e-06
B1953+29,0.4154252656,-0.7695472443,0.4849936983,5.207391195,0.5063559618,5.39,1.1,4751852062,5103233493,11.13460565,5126,98,4.080917316e-06
J0023+0923,0.9815146564,0.1000502497,0.1631530776,0.1015836742,0.1638857145,1,0.2,4817521249,5102042231,9.01592586,15896,92,1.20368091e-06
J0030+0451,0.9876174258,0.1320267968,0.08473927815,0.1328942165,0.08484102246,0.28,0.1,4613315359,5103421227,15.53051779,19571,289,1.300189558e-06
J0340+4130,0.4284604891,0.6141158095,0.6627845667,0.9616245386,0.7245313248,1,0.2,4835987834,5092668956,8.13373392,11093,197,5.620428859e-06
J0406+3039,0.4086596756,0.7569204605,0.5099692991,1.07574221,0.5351490991,1,0.2,4990037081,5102482680,3.563186008,2446,39,1.4812791e-06
J0437-4715,0.2397413093,0.6350175729,-0.7343546736,1.209805114,-0.8247154566,0.156,0.001,4943950369,5093964754,4.75366903,5830,31,8.395744172e-07
J0509+0856,0.2164578551,0.9638439948,0.155405118,1.349883884,0.1560375405,1,0.2,4990040442,5102485936,3.563182676,2169,38,5.04761706e-06
J0557+1551,0.01039278166,0.961995193,0.2728685373,1.559993386,0.2763734646,1,0.2,4958425392,5102487493,4.565052502,525,41,3.676203453e-06
J0605+3757,-0.01751747334,0.7882458308,0.6151110862,1.593016032,0.6625268523,1,0.2,4986428618,5092676553,3.366793898,554,44,3.738465541e-06
J0610-2100,-0.04164258159,0.9326029743,-0.3584934975,1.61541868,-0.3666536265,1,0.2,4986430655,5092667905,3.366455302,4885,74,5.384579448e-06
J0613-0200,-0.05984841889,0.9975891796,-0.03512827311,1.630717558,-0.03513550181,0.9,0.4,4617975874,5092670952,15.04217932,17124,324,1.047182472e-06
J0636+5128,-0.09763521396,0.615040891,0.7824270364,1.728228545,0.8985536683,1,0.2,4893728720,5092411641,6.295881833,32222,133,3.041886756e-06
J0645+5158,-0.1227829105,0.6037033185,0.7876970611,1.771442515,0.907061856,1,0.2,4812829060,5092412440,8.859462694,10403,185,5.682168998e-07
J0709+0458,-0.2960004421,0.9512334858,0.08682507541,1.87247397,0.08693453698,1,0.2,4958428423,5102492257,4.565107423,3030,51,9.592903296e-06
J0740+6620,-0.1707925451,0.3631038259,0.9159615266,2.01045887,1.157897637,1,0.2,4893729784,5092887593,6.310930127,13401,206,1.40040612e-06
J0931-1902,-0.7532091805,0.5711027604,-0.3263702919,2.492847678,-0.332461039,1,0.2,4868731748,5092673089,7.096272858,5473,167,3.682836856e-06
J1012+5307,-0.5354243683,0.2711741895,0.7998658042,2.672785707,0.9270715918,0.7,0.2,4602299627,5092413965,15.5307862,25837,327,1.794632387e-06
J1012-4235,-0.6562007469,0.333573698,-0.6768523973,2.671294587,-0.7434782384,1,0.2,4986533304,5092680414,3.363598938,797,45,6.213484257e-06
J1022+1001,-0.8977644884,0.4045705724,0.1741883332,2.718204794,0.17508144,0.52,0.09,4927245315,5102415833,5.550818764,3978,55,4.786563628e-06
J1024-0719,-0.9072264117,0.4008706756,-0.1274477909,2.725525205,-0.1277953585,0.49,0.12,4762245678,5092591335,10.46802218,12635,239,1.88790677e-06
J1125+7819,-0.2000491061,0.02989931208,0.9793295596,2.993230999,1.367119884,1,0.2,4893730719,5092409963,6.295765319,8723,135,4.768882125e-06
J1312+0051,-0.9498985772,-0.3122060532,0.01483487051,3.459143097,0.01483541469,1,0.2,4958447487,5102428928,4.562496558,1705,48,4.864130665e-06
J1453+1902,-0.6863789573,-0.6499959764,0.3261735084,3.899772411,0.3322528634,1,0.2,4881424833,5102438508,7.00350073,2551,69,5.627864196e-06
J1455-3330,-0.6002643507,-0.5786545737,-0.5521246179,3.908662706,-0.5849103261,0.74,0.15,4597949748,5092440262,15.66945881,10818,292,3.761498894e-06
J1600-3053,-0.4262376546,-0.7447428737,-0.5134973358,4.192564638,-0.5392555591,2.4,0.9,4700216684,5093838762,12.47313098,22955,312,1.107663138e-06
J1614-2230,-0.4100106376,-0.8278508916,-0.3828239522,4.252531627,-0.392851184,1,0.2,4728229017,5092441802,11.54120673,18445,267,1.723731082e-06
J1630+3734,-0.3013413909,-0.7329952504,0.6098453321,4.322342193,0.6558654167,1,0.2,4983709734,5092889384,3.459694349,1815,63,2.443601135e-06
J1640+2224,-0.3151496151,-0.8691583005,0.3811096546,4.364540915,0.3909962367,1.19,0.238,4615524146,5103731786,15.47036654,14066,284,5.343314994e-07
J1643-1224,-0.3194195074,-0.9228978647,-0.2150132777,4.379188356,-0.2167054255,0.42,0.09,4597957699,5093841938,15.71362332,22144,345,3.346217141e-06
J1705-1903,-0.2217245282,-0.9187936408,-0.3265830357,4.475594983,-0.3326861158,1,0.2,4974841522,5092362834,3.724025646,9871,63,1.827649036e-06
J1713+0747,-0.1982651645,-0.9707222113,0.1356072011,4.510915035,0.1360262991,1.05,0.06,4613203479,5103735084,15.54400857,59389,833,2.356205231e-07
J1719-1438,-0.1714735766,-0.9522453849,-0.2526371697,4.534225442,-0.2554048741,1,0.2,4983798238,5092450887,3.442994672,6356,73,9.721188019e-06
J1730-2304,-0.1186445207,-0.9123078265,-0.3919412041,4.583066006,-0.4027406735,0.51,0.1,4983800603,5092451947,3.442953326,4870,74,2.113340635e-06
J1738+0333,-0.0917616307,-0.9938507243,0.06197209882,4.620320618,0.06201183526,1,0.2,4763732760,5102445185,10.73314905,8790,104,1.237714695e-06
J1741+1351,-0.07820488715,-0.9677197256,0.2395882474,4.631750649,0.241941724,1,0.2,4755632862,5103218927,11.01433776,5582,113,5.377976628e-07
J1744-1134,-0.06624579777,-0.9773963706,-0.2007680978,4.644714659,-0.2021419201,0.42,0.02,4597873785,5092453515,15.67228592,17745,316,6.15500101e-07
J1745+1017,-0.06193343485,-0.9819404039,0.1787660281,4.64939992,0.1797321334,1,0.2,4958547715,5102015398,4.546216532,3017,49,1.046680117e-05
J1747-4036,-0.04035017266,-0.7580251162,-0.6509760263,4.659208518,-0.7088694996,1,0.2,4836373828,5092631752,8.120323593,11055,183,5.804229641e-06
J1751-2857,-0.03227137808,-0.8743377094,-0.4842438725,4.675496216,-0.505498749,1,0.2,4983802373,5092805182,3.454090563,2025,64,5.517200258e-06
J1802-2124,0.008486012048,-0.9310105493,-0.3648936073,4.721503568,-0.3735185287,1,0.2,4983803810,5092894893,3.456887832,6796,69,5.676646735e-06
J1811-2405,0.04511656715,-0.9118008638,-0.4081466406,4.761829382,-0.4204229862,1,0.2,4983805926,5092896235,3.456863283,5266,76,2.090178761e-06
J1832-0836,0.1395670317,-0.9788162056,-0.1497994638,4.854021851,-0.1503654449,1,0.2,4869028309,5092899711,7.094056633,7739,172,1.815113687e-06
